India,Shikhar Dhawan,0,1,0,0,1,88,10,81,0,0,0,0,0
India,Rohit Sharma,0,0,8,0,1,90,57,90,0,0,0,0,0
India,Virat Kohli,0,0,5,0,1,94,30,82,0,0,0,0,0
India,Shreyas Iyer,0,0,0,0,1,73,9,82,0,0,0,0,0
India,KL Rahul,0,0,0,1,1,79,5,92,0,0,0,0,0
India,Hardik Pandya,2,0,3,0,1,70,70,82,0,0,0,0,0
India,Ravindra Jadeja,2,1,9,0,1,70,79,98,0,0,0,0,0
India,Kuldeep Yadav,1,1,10,0,1,30,86,40,0,0,0,0,0
India,Jasprit Bumrah,1,0,1,0,1,20,93,44,0,0,0,0,0
India,Mohammad Shami,1,0,1,0,1,33,81,27,0,0,0,0,0
India,Arshdeep Singh,1,1,2,0,1,8,77,23,0,0,0,0,0
India,Varun Chakaravarthy,1,0,7,0,1,14,82,37,0,0,0,0,0
India,Rishabh Pant,0,1,0,1,1,73,0,78,0,0,0,0,0
India,Axar patel,2,1,9,0,1,63,78,73,0,0,0,0,0
India,Shubman Gill,0,0,7,0,1,83,15,73,0,0,0,0,0
Austraila,Travis Head,0,1,7,0,1,82,46,89,0,0,0,0,0
Austraila,Mitchell Marsh,2,0,3,0,1,72,53,69,0,0,0,0,0
Austraila,Marnus Labuschagne,0,0,5,0,1,72,38,70,0,0,0,0,0
Austraila,Steve Smith,0,0,8,0,1,87,27,86,0,0,0,0,0
Austraila,Josh Inglis,0,0,0,1,1,69,0,83,0,0,0,0,0
Austraila,Alex Carey,0,1,0,1,1,73,0,87,0,0,0,0,0
Austraila,Glenn Maxwell,2,0,7,0,1,68,57,93,0,0,0,0,0
Austraila,Pat Cummins,1,0,1,0,1,45,89,67,0,0,0,0,0
Austraila,Mitchell Starc,1,1,2,0,1,57,97,72,0,0,0,0,0
Austraila,Adam Zampa,1,0,8,0,1,29,82,33,0,0,0,0,0
Austraila,Josh Hazlewood,1,1,1,0,1,18,87,45,0,0,0,0,0
Austraila,Mitchell owen,0,0,5,0,1,72,47,73,0,0,0,0,0
Austraila,Mathew Short,0,0,7,0,1,73,63,78,0,0,0,0,0
Austraila,Copper Colony,0,1,9,0,1,77,39,77,0,0,0,0,0
Austraila,Cameron Green,2,0,3,0,1,74,74,74,0,0,0,0,0
Newzeland,Devon Conway,0,1,0,1,1,74,0,89,0,0,0,0,0
